Data;Total de casos;Casos por dia;Óbitos por dia;;;;;
22/dezembro/2020;1398757;10714;259;;;;;
23/dezembro/2020;1409140;10383;181;;;;;
24/dezembro/2020;1418491;9351;182;;;;;
25/dezembro/2020;1422087;3596;37;;;;;
26/dezembro/2020;1423340;1253;13;;;;;
27/dezembro/2020;1426176;2836;55;;;;;
28/dezembro/2020;1427752;1576;39;;;;;
29/dezembro/2020;1440229;12477;293;;;;;
30/dezembro/2020;1452078;11849;282;;;;;
31/dezembro/2020;1462297;10219;240;;;;;
01/janeiro/2021;1466191;3894;58;;;;;
02/janeiro/2021;1467953;1762;33;;;;;
03/janeiro/2021;1471422;3469;37;;;;;
04/janeiro/2021;1473670;2248;43;;;;;
05/janeiro/2021;1486551;12881;334;;;;;
06/janeiro/2021;1501085;14534;289;;;;;
07/janeiro/2021;1515158;14073;257;;;;;
08/janeiro/2021;1528952;13794;261;;;;;
09/janeiro/2021;1540513;11561;269;;;;;
10/janeiro/2021;1546132;5619;53;;;;;
11/janeiro/2021;1549142;3010;28;;;;;
12/janeiro/2021;1561844;12702;283;;;;;
13/janeiro/2021;1577119;15275;323;;;;;
14/janeiro/2021;1590829;13710;304;;;;;
15/janeiro/2021;1605845;15016;311;;;;;
16/janeiro/2021;1619619;13774;285;;;;;
17/janeiro/2021;1625339;5720;60;;;;;
18/janeiro/2021;1628272;2933;42;;;;;
19/janeiro/2021;1644225;15953;331;;;;;
20/janeiro/2021;1658636;14411;334;;;;;
21/janeiro/2021;1670754;12118;286;;;;;
22/janeiro/2021;1679759;9005;254;;;;;
23/janeiro/2021;1694355;14596;231;;;;;
24/janeiro/2021;1699427;5072;79;;;;;
25/janeiro/2021;1702294;2867;54;;;;;
26/janeiro/2021;1715253;12959;282;;;;;
27/janeiro/2021;1731294;16041;332;;;;;
28/janeiro/2021;1746070;14776;311;;;;;
29/janeiro/2021;1759957;13887;241;;;;;
30/janeiro/2021;1773024;13067;232;;;;;
31/janeiro/2021;1777368;4344;80;;;;;
01/fevereiro/2021;1779722;2354;56;;;;;
02/fevereiro/2021;1794019;14297;365;;;;;
03/fevereiro/2021;1807009;12990;249;;;;;
04/fevereiro/2021;1820941;13932;293;;;;;
05/fevereiro/2021;1833163;12222;327;;;;;
06/fevereiro/2021;1845086;11923;221;;;;;
07/fevereiro/2021;1849334;4248;69;;;;;
08/fevereiro/2021;1851776;2442;49;;;;;
09/fevereiro/2021;1864977;13201;424;;;;;
10/fevereiro/2021;1878802;13825;332;;;;;
11/fevereiro/2021;1889969;11167;323;;;;;
12/fevereiro/2021;1901574;11605;229;;;;;
13/fevereiro/2021;1911411;9837;220;;;;;
14/fevereiro/2021;1913598;2187;75;;;;;
15/fevereiro/2021;1915914;2316;38;;;;;
16/fevereiro/2021;1927410;11496;398;;;;;
17/fevereiro/2021;1938712;11302;258;;;;;
18/fevereiro/2021;1949459;10747;280;;;;;
19/fevereiro/2021;1960564;11105;259;;;;;
